result_name,value,set_id,dim_name_1,dim_value_1,dim_name_2,dim_value_2,dim_name_3,dim_value_3,dim_name_4,dim_value_4,dim_name_5,dim_value_5,dim_name_6,dim_value_6,measure_id,name,description,source_name
name=HOSPITAL VALUE|||unit=%,100,312,Data Element,Px End Hour (Principal Px),Issue Period,2009 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2127,PPx end hour is missing for 100% of PPx.,Principal Px end hour is missing for 100% of Principal Px. (End Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=%,99.5,313,Data Element,Zip Code,Issue Period,2008 Q4,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1681,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=PHIS MEDIAN|||unit=%,99.7,313,Data Element,Zip Code,Issue Period,2008 Q4,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1681,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=HOSPITAL VALUE|||unit=%,93.3,314,Data Element,Zip Code,Issue Period,2013 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1691,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=PHIS MEDIAN|||unit=%,99.6,314,Data Element,Zip Code,Issue Period,2013 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1691,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=HOSPITAL VALUE|||unit=,,315,Data Element,Medical Discharge Hour,Issue Period,2004 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,2201,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,315,Data Element,Medical Discharge Hour,Issue Period,2004 Q3,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,2201,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,316,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1856,"Med Disch Hr Ind=Default, but Med Disch Hr spread thru day.","Medical Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Medical Discharge Hour single value measure is <18% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=%,,316,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2168,Med Disch Hr Ind = default for >99% of cases,Medical Discharge Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=%,100,316,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2168,Med Disch Hr Ind = default for >99% of cases,Medical Discharge Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=,,316,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q1,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,1856,"Med Disch Hr Ind=Default, but Med Disch Hr spread thru day.","Medical Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Medical Discharge Hour single value measure is <18% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=,,317,Data Element,Px Start Date (Principal Px),Issue Period,2005 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2211,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,317,Data Element,Px Start Date (Principal Px),Issue Period,2005 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2211,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=cases,6,318,Data Element,Date of Birth,Issue Period,2006 Q4,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1364,DOB is <=12/31/1960. (DOB not missing),Date of birth is <=12/31/1960. (DOB not = 1/1/1900 or 1/1/1850 (missing)),PHIS
name=PHIS MEDIAN|||unit=cases,7.5,318,Data Element,Date of Birth,Issue Period,2006 Q4,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1364,DOB is <=12/31/1960. (DOB not missing),Date of birth is <=12/31/1960. (DOB not = 1/1/1900 or 1/1/1850 (missing)),PHIS
name=PHIS MEDIAN|||unit=%,,319,Data Element,Px Start Hour (Principal Px),Issue Period,2014 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1958,PPx start hour is missing for 100% of PPx.,Principal Px start hour is missing for 100% of Principal Px. (Start Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=%,100,319,Data Element,Px Start Hour (Principal Px),Issue Period,2014 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1958,PPx start hour is missing for 100% of PPx.,Principal Px start hour is missing for 100% of Principal Px. (Start Hour = 99),PHIS
name=PHIS MEDIAN|||unit=%,,320,Data Element,Admit Hour Indicator,Issue Period,2011 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1193,Adm Hr Ind = default for >99% of cases,Admit Hour Indicator = default for >99% of cases,PHIS
name=PHIS MEDIAN|||unit=,,320,Data Element,Admit Hour Indicator,Issue Period,2011 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1198,"Adm Hr Ind =Default, but Adm Hr spread thru day","Admit Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but Admit Hour values are spread throughout the day (>=1 Admit Hour single value measure is <18% and not =0%)",PHIS
name=HOSPITAL VALUE|||unit=%,100,320,Data Element,Admit Hour Indicator,Issue Period,2011 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1193,Adm Hr Ind = default for >99% of cases,Admit Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=,,320,Data Element,Admit Hour Indicator,Issue Period,2011 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1198,"Adm Hr Ind =Default, but Adm Hr spread thru day","Admit Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but Admit Hour values are spread throughout the day (>=1 Admit Hour single value measure is <18% and not =0%)",PHIS
name=HOSPITAL VALUE|||unit=%,99.2,322,Data Element,Zip Code,Issue Period,2008 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1676,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=PHIS MEDIAN|||unit=%,99.5,322,Data Element,Zip Code,Issue Period,2008 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1676,Zip code last 4 digits missing in >=20% of cases,Zip Code last 4 digits missing in >=20% of cases (Zip +4 = #####0000),PHIS
name=HOSPITAL VALUE|||unit=,,323,Data Element,Px Start Date,Issue Period,2006 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2208,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,323,Data Element,Px Start Date,Issue Period,2006 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2208,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=%,3.1,324,Data Element,Birthweight (NICU),Issue Period,2007 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,10,BW NICU invalid entry rate >2%,BW NICU >2% values 1-200g or >7000g for neonates in NICU age <=28 days with billed charges,PHIS
name=PHIS MEDIAN|||unit=%,0,324,Data Element,Birthweight (NICU),Issue Period,2007 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,10,BW NICU invalid entry rate >2%,BW NICU >2% values 1-200g or >7000g for neonates in NICU age <=28 days with billed charges,PHIS
name=HOSPITAL VALUE|||unit=,,325,Data Element,Medical Discharge Date,Issue Period,2005 Q2,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,2197,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,325,Data Element,Medical Discharge Date,Issue Period,2005 Q2,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,2197,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=%,,326,Data Element,Px End Hour (Principal Px),Issue Period,2012 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2124,PPx end hour is missing for 100% of PPx.,Principal Px end hour is missing for 100% of Principal Px. (End Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=%,100,326,Data Element,Px End Hour (Principal Px),Issue Period,2012 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2124,PPx end hour is missing for 100% of PPx.,Principal Px end hour is missing for 100% of Principal Px. (End Hour = 99),PHIS
name=HOSPITAL VALUE|||unit=PPx,1875,327,Data Element,Px End Date (Principal Px),Issue Period,2011 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2108,PPx count with missing PPx end dates.,Principal Px count with missing or null Principal Px end dates.,PHIS
name=PHIS MEDIAN|||unit=PPx,,327,Data Element,Px End Date (Principal Px),Issue Period,2011 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2108,PPx count with missing PPx end dates.,Principal Px count with missing or null Principal Px end dates.,PHIS
name=PHIS MEDIAN|||unit=,,329,Data Element,Px Start Hour (Principal Px),Issue Period,2005 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2215,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,329,Data Element,Px Start Hour (Principal Px),Issue Period,2005 Q2,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2215,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,330,Data Element,Mech Vent Flag (Reported),Issue Period,2004 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2223,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,330,Data Element,Mech Vent Flag (Reported),Issue Period,2004 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2223,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=,,331,Data Element,Mech Vent Flag (Reported),Issue Period,2005 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2223,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,331,Data Element,Mech Vent Flag (Reported),Issue Period,2005 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2223,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=Px,,332,Data Element,Px End Date,Issue Period,2008 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2098,Px count with missing px end dates.,Px count with missing or null px end dates.,PHIS
name=HOSPITAL VALUE|||unit=Px,5568,332,Data Element,Px End Date,Issue Period,2008 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2098,Px count with missing px end dates.,Px count with missing or null px end dates.,PHIS
name=HOSPITAL VALUE|||unit=,,333,Data Element,Country,Issue Period,2005 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2151,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=codes,,333,Data Element,Country,Issue Period,2005 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2003,Country code invalid value count,Country code invalid or null value count,PHIS
name=PHIS MEDIAN|||unit=,,333,Data Element,Country,Issue Period,2005 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2151,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=cases,652,333,Data Element,Country,Issue Period,2005 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2002,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=cases,1119,333,Data Element,Country,Issue Period,2005 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2002,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=codes,1074,333,Data Element,Country,Issue Period,2005 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2003,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=%,0.2,334,Data Element,Disposition,Issue Period,2007 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1518,Disposition >= .1% unknown and/or invalid.,Disposition >= .1% unknown and/or invalid.,PHIS
name=PHIS MEDIAN|||unit=%,0,334,Data Element,Disposition,Issue Period,2007 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1518,Disposition >= .1% unknown and/or invalid.,Disposition >= .1% unknown and/or invalid.,PHIS
name=HOSPITAL VALUE|||unit=,,335,Data Element,Px Start Date,Issue Period,2004 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2208,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,335,Data Element,Px Start Date,Issue Period,2004 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2208,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=$,16369,336,Data Element,"Charges-Billed, Supply",Issue Period,2010 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1275,CTC unspecified code charges-Supply,Supply unspecified CTC codes (Supply Item = 200000) have >$100K in charges associated with them and >1% of Supply charges are unspecified. Charges associated with unspecified CTC codes are not available for analysis.,PHIS
name=HOSPITAL VALUE|||unit=%,3,336,Data Element,"Charges-Billed, Supply",Issue Period,2010 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1276,CTC unspecified code charges-Supply rate,Supply unspecified CTC codes (Supply Item = 200000) have >$100K in charges associated with them and >1% of Supply charges are unspecified. (% of Supply Charges) Charges associated with unspecified CTC codes are not available for analysis.,PHIS
name=HOSPITAL VALUE|||unit=$,386775,336,Data Element,"Charges-Billed, Supply",Issue Period,2010 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1275,CTC unspecified code charges-Supply,Supply unspecified CTC codes (Supply Item = 200000) have >$100K in charges associated with them and >1% of Supply charges are unspecified. Charges associated with unspecified CTC codes are not available for analysis.,PHIS
name=PHIS MEDIAN|||unit=%,0.1,336,Data Element,"Charges-Billed, Supply",Issue Period,2010 Q4,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1276,CTC unspecified code charges-Supply rate,Supply unspecified CTC codes (Supply Item = 200000) have >$100K in charges associated with them and >1% of Supply charges are unspecified. (% of Supply Charges) Charges associated with unspecified CTC codes are not available for analysis.,PHIS
name=HOSPITAL VALUE|||unit=%,100,337,Data Element,Admit Dx (ICD-9),Issue Period,2004 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1987,Admit dx is missing for 100% of cases.,Admit dx is missing for 100% of cases.,PHIS
name=PHIS MEDIAN|||unit=%,,337,Data Element,Admit Dx (ICD-9),Issue Period,2004 Q3,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1987,Admit dx is missing for 100% of cases.,Admit dx is missing for 100% of cases.,PHIS
name=PHIS MEDIAN|||unit=,,338,Data Element,Remote Location Data,Issue Period,2010 Q4,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,168,Remote location data includes Amby Sgy (Freestanding) cases.,Remote location data includes Ambulatory Surgery (Freestanding) cases.,PHIS
name=HOSPITAL VALUE|||unit=,,338,Data Element,Remote Location Data,Issue Period,2010 Q4,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,168,Remote location data includes Amby Sgy (Freestanding) cases.,Remote location data includes Ambulatory Surgery (Freestanding) cases.,PHIS
name=HOSPITAL VALUE|||unit=%,99.6,339,Data Element,Payer-Tertiary,Issue Period,2011 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1867,Payer-Tertiary >= 1% unknown.,"Payer-Tertiary >= 1% and not = 100% unknown (Tertiary Source Of Payment = -1, 0, ??).",PHIS
name=PHIS MEDIAN|||unit=%,98.6,339,Data Element,Payer-Tertiary,Issue Period,2011 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,1867,Payer-Tertiary >= 1% unknown.,"Payer-Tertiary >= 1% and not = 100% unknown (Tertiary Source Of Payment = -1, 0, ??).",PHIS
name=PHIS MEDIAN|||unit=codes,,340,Data Element,Country,Issue Period,2006 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2000,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=,,340,Data Element,Country,Issue Period,2006 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2150,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=cases,1827,340,Data Element,Country,Issue Period,2006 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1999,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=codes,2273,340,Data Element,Country,Issue Period,2006 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2000,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=cases,2339,340,Data Element,Country,Issue Period,2006 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1999,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=PHIS MEDIAN|||unit=,,340,Data Element,Country,Issue Period,2006 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2150,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=cases,0,341,Data Element,Country,Issue Period,2012 Q2,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1996,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=PHIS MEDIAN|||unit=codes,,341,Data Element,Country,Issue Period,2012 Q2,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1997,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=codes,4,341,Data Element,Country,Issue Period,2012 Q2,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1997,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=cases,4,341,Data Element,Country,Issue Period,2012 Q2,Patient Type,ED Visit,Hospital Name,Children's Hospital Colorado,,,,,1996,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=,,342,Data Element,Px Start Hour,Issue Period,2005 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2212,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,342,Data Element,Px Start Hour,Issue Period,2005 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2212,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,343,Data Element,Country,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2150,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=cases,1729,343,Data Element,Country,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1999,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=HOSPITAL VALUE|||unit=,,343,Data Element,Country,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2150,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=cases,2277,343,Data Element,Country,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1999,Country code invalid entry cases.,Country code invalid or null entry cases,PHIS
name=PHIS MEDIAN|||unit=codes,,343,Data Element,Country,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2000,Country code invalid value count,Country code invalid or null value count,PHIS
name=HOSPITAL VALUE|||unit=codes,2221,343,Data Element,Country,Issue Period,2004 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2000,Country code invalid value count,Country code invalid or null value count,PHIS
name=PHIS MEDIAN|||unit=Px,,344,Data Element,Px End Date,Issue Period,2009 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2098,Px count with missing px end dates.,Px count with missing or null px end dates.,PHIS
name=HOSPITAL VALUE|||unit=Px,6477,344,Data Element,Px End Date,Issue Period,2009 Q2,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2098,Px count with missing px end dates.,Px count with missing or null px end dates.,PHIS
name=HOSPITAL VALUE|||unit=,,347,Data Element,Discharge Hour,Issue Period,2004 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2179,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=PHIS MEDIAN|||unit=,,347,Data Element,Discharge Hour,Issue Period,2004 Q2,Patient Type,Obs Unit,Hospital Name,Children's Hospital Colorado,,,,,2179,Version 1 data does not include this data element.,Version 1 data does not include this data element.,PHIS
name=HOSPITAL VALUE|||unit=%,94.6,348,Data Element,Medical Discharge Hour,Issue Period,2011 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1796,Med discharge hour >=18% 23 (11:00 PM to 11:59 PM).,Medical discharge hour >=18% 23 (11:00 PM to 11:59 PM) (and <100%).,PHIS
name=PHIS MEDIAN|||unit=%,,348,Data Element,Medical Discharge Hour,Issue Period,2011 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1772,Med discharge hour = physical discharge hour for 100% cases,Medical = physical discharge hour for 100% of cases. (Medical Discharge Hour between 00 and 23) Unable to distinguish medical from physical discharge hour.,PHIS
name=PHIS MEDIAN|||unit=%,0,348,Data Element,Medical Discharge Hour,Issue Period,2011 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1796,Med discharge hour >=18% 23 (11:00 PM to 11:59 PM).,Medical discharge hour >=18% 23 (11:00 PM to 11:59 PM) (and <100%).,PHIS
name=HOSPITAL VALUE|||unit=%,100,348,Data Element,Medical Discharge Hour,Issue Period,2011 Q1,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1772,Med discharge hour = physical discharge hour for 100% cases,Medical = physical discharge hour for 100% of cases. (Medical Discharge Hour between 00 and 23) Unable to distinguish medical from physical discharge hour.,PHIS
name=HOSPITAL VALUE|||unit=cases,1,349,Data Element,ECMO Flag (Reported),Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2010,"Reported ECMO flag = No, reported ECMO days >= 1 cases",Reported ECMO flag not consistent with reported ECMO days cases. (Reported ECMO flag = No and reported ECMO days >= 1 Count >=1),PHIS
name=HOSPITAL VALUE|||unit=%,0,349,Data Element,ECMO Flag (Reported),Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2011,"Reported ECMO flag = No, reported ECMO days >= 1 rate",Reported ECMO flag not consistent with reported ECMO days rate. (Reported ECMO flag = No and reported ECMO days >= 1 Count >=1),PHIS
name=PHIS MEDIAN|||unit=cases,,349,Data Element,ECMO Flag (Reported),Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2010,"Reported ECMO flag = No, reported ECMO days >= 1 cases",Reported ECMO flag not consistent with reported ECMO days cases. (Reported ECMO flag = No and reported ECMO days >= 1 Count >=1),PHIS
name=PHIS MEDIAN|||unit=%,,349,Data Element,ECMO Flag (Reported),Issue Period,2014 Q1,Patient Type,Inpatient,Hospital Name,Children's Hospital Colorado,,,,,2011,"Reported ECMO flag = No, reported ECMO days >= 1 rate",Reported ECMO flag not consistent with reported ECMO days rate. (Reported ECMO flag = No and reported ECMO days >= 1 Count >=1),PHIS
name=HOSPITAL VALUE|||unit=%,100,350,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2166,Med Disch Hr Ind = default for >99% of cases,Medical Discharge Hour Indicator = default for >99% of cases,PHIS
name=HOSPITAL VALUE|||unit=,,350,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1848,"Med Disch Hr Ind=Default, but Med Disch Hr spread thru day.","Medical Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Medical Discharge Hour single value measure is <18% and not =0%)",PHIS
name=PHIS MEDIAN|||unit=%,,350,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,2166,Med Disch Hr Ind = default for >99% of cases,Medical Discharge Hour Indicator = default for >99% of cases,PHIS
name=PHIS MEDIAN|||unit=,,350,Data Element,Medical Discharge Hr Indicator,Issue Period,2012 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1848,"Med Disch Hr Ind=Default, but Med Disch Hr spread thru day.","Medical Discharge Hour Indicator is not consistent with entries. Default values indicated for >=95% of cases, but discharge hour values are spread throughout the day  (>=1 Medical Discharge Hour single value measure is <18% and not =0%)",PHIS
name=HOSPITAL VALUE|||unit=%,2.3,352,Data Element,Charges-Abstract,Issue Period,2013 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1240,Abstract charge <=$0 rate. (Cases > 50 and rate >=.5%),Abstract charge <=$0 rate. (Cases > 50 and rate >=.5% of total cases),PHIS
name=HOSPITAL VALUE|||unit=cases,89,352,Data Element,Charges-Abstract,Issue Period,2013 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1239,Abstract charge <=$0 cases. (Cases > 50 and rate >=.5%),Abstract charge <=$0 cases. (Cases > 50 and rate >=.5% of total cases),PHIS
name=PHIS MEDIAN|||unit=%,1,352,Data Element,Charges-Abstract,Issue Period,2013 Q3,Patient Type,Amb Surg,Hospital Name,Children's Hospital Colorado,,,,,1240,Abstract charge <=$0 rate. (Cases > 50 and rate >=.5%),Abstract charge <=$0 rate. (Cases > 50 and rate >=.5% of total cases),PHIS
